cnt,date
68550,20210101
56443,20210102
67439,20210103
87146,20210104
88343,20210105
85365,20210106
91358,20210107
88070,20210108
66934,20210109
61310,20210110
83379,20210111
79759,20210112
83764,20210113
80876,20210114
90952,20210115
65036,20210116
61213,20210117
82613,20210118
82707,20210119
83566,20210120
89826,20210121
86121,20210122
62451,20210123
68073,20210124
95561,20210125
86050,20210126
77256,20210127
94011,20210128
80876,20210129
68069,20210130
65594,20210131
92118,20210201
87845,20210202
82356,20210203
82804,20210204
81245,20210205
65034,20210206
71804,20210207
73445,20210208
66794,20210209
65640,20210210
56665,20210211
76925,20210212
54804,20210213
55175,20210214
58327,20210215
64152,20210216
55076,20210217
66206,20210218
72757,20210219
71360,20210220
73288,20210221
89267,20210222
81728,20210223
77943,20210224
79464,20210225
79092,20210226
64730,20210227
65054,20210228
90825,20210301
91374,20210302
82630,20210303
81782,20210304
83102,20210305
67881,20210306
62194,20210307
86428,20210308
83604,20210309
82379,20210310
80251,20210311
90698,20210312
69463,20210313
74877,20210314
87040,20210315
83590,20210316
83210,20210317
85645,20210318
88640,20210319
70630,20210320
60443,20210321
79837,20210322
81281,20210323
100287,20210324
98481,20210325
97028,20210326
76847,20210327
92091,20210329
93651,20210330
97072,20210331
99383,20210401
85361,20210402
70908,20210403
63601,20210404
63706,20210405
88979,20210406
87693,20210407
94172,20210408
97809,20210409
71120,20210410
64897,20210411
86689,20210412
90665,20210413
89604,20210414
98558,20210415
90725,20210416
75582,20210417
68652,20210418
91598,20210419
86778,20210420
86442,20210421
104353,20210423
82549,20210424
87992,20210425
92946,20210426
89953,20210427
90695,20210428
95089,20210429
79139,20210501
84745,20210502
69992,20210503
70186,20210504
69357,20210505
98671,20210506
87819,20210507
96400,20210508
72945,20210509
97295,20210510
92560,20210511
92401,20210512
95584,20210513
96323,20210514
86129,20210515
75149,20210516
97369,20210517
108167,20210518
97303,20210519
94088,20210520
90530,20210521
74301,20210522
69203,20210523
112353,20210524
110057,20210525
103152,20210526
96571,20210527
98179,20210528
81316,20210529
117071,20210602
106581,20210603
103757,20210604
85318,20210605
78250,20210606
104545,20210607
118896,20210608
103479,20210609
99053,20210610
99925,20210611
77921,20210612
76381,20210613
85145,20210614
106867,20210615
105142,20210616
101030,20210617
111931,20210618
84790,20210619
77668,20210620
101783,20210621
104330,20210622
125641,20210623
119688,20210624
114197,20210625
83741,20210626
78073,20210627
106803,20210628
107841,20210629
127623,20210630
111116,20210702
84826,20210703
76756,20210704
98933,20210705
102610,20210706
99582,20210707
104296,20210708
99547,20210709
80765,20210710
75034,20210711
91323,20210712
100476,20210713
109860,20210714
99204,20210715
100528,20210716
84896,20210717
79828,20210718
98748,20210719
102279,20210720
90552,20210721
91796,20210722
87617,20210723
90162,20210724
84042,20210725
99632,20210726
99376,20210727
98492,20210728
93691,20210729
101844,20210730
83345,20210731
101448,20210803
96640,20210804
97489,20210805
100248,20210806
78414,20210807
78401,20210808
104279,20210809
98884,20210810
94758,20210811
98000,20210812
99361,20210813
90541,20210814
75697,20210815
97553,20210816
96511,20210817
98026,20210818
96837,20210819
77991,20210821
71954,20210822
91585,20210823
96819,20210826
98870,20210827
81040,20210828
102112,20210903
87629,20210904
74670,20210905
100154,20210906
100365,20210907
103439,20210908
98757,20210910
83991,20210911
77314,20210912
104248,20210913
105913,20210914
108868,20210915
104002,20210916
101478,20210917
96042,20210918
78229,20210919
76371,20210920
73833,20210921
113580,20210924
103916,20210926
103474,20210927
103126,20210928
101714,20210929
107346,20210930
85683,20211002
88233,20211003
79245,20211004
76698,20211005
80084,20211006
81036,20211007
106209,20211008
103025,20211009
82762,20211010
101527,20211011
103726,20211012
102031,20211013
106519,20211014
109246,20211015
90507,20211016
81005,20211017
108466,20211018
102860,20211019
104833,20211020
102861,20211021
105412,20211022
78416,20211023
95076,20211024
124537,20211025
113014,20211026
111164,20211027
110536,20211028
118149,20211029
90403,20211030
84776,20211031
113485,20211104
110489,20211105
93507,20211106
84986,20211107
111541,20211108
120581,20211109
118559,20211110
125904,20211111
114087,20211112
94367,20211113
90779,20211114
120450,20211115
111907,20211117
110314,20211118
114798,20211119
92771,20211120
85461,20211121
116393,20211122
126649,20211123
134443,20211124
128599,20211125
142349,20211126
96673,20211127
124355,20211129
98706,20211204
89633,20211205
121460,20211206
119266,20211207
118385,20211208
128386,20211209
98691,20211211
91779,20211212
122005,20211213
121338,20211215
115285,20211216
120345,20211217
96348,20211218
95516,20211219
120572,20211220
111928,20211221
123378,20211222
110772,20211223
127953,20211224
108400,20211225
93849,20211226
125787,20211227
131449,20211228
127671,20211229
130335,20211230
124878,20211231
99635,20220101
93531,20220102
96389,20220103
119324,20220104
110814,20220105
114406,20220106
111155,20220107
96442,20220108
90098,20220109
111965,20220110
117823,20220111
109249,20220112
119097,20220113
143382,20220114
96535,20220115
88075,20220116
117597,20220117
114525,20220118
110800,20220119
113985,20220120
118183,20220121
98648,20220122
82151,20220123
124557,20220124
119248,20220125
108019,20220126
102798,20220127
101712,20220128
89115,20220129
84557,20220130
78963,20220131
107459,20220201
84443,20220202
91568,20220203
80877,20220204
80985,20220205
82830,20220206
94578,20220207
96369,20220208
100420,20220209
107543,20220210
100414,20220211
86262,20220212
84261,20220213
109599,20220214
104681,20220215
103482,20220216
104168,20220217
105004,20220218
89482,20220219
83769,20220220
140776,20220221
118015,20220222
109138,20220223
105442,20220224
106213,20220225
90229,20220226
84126,20220227
118513,20220228
122708,20220301
119446,20220302
114263,20220303
119027,20220304
92209,20220305
87093,20220306
117102,20220307
111465,20220308
116584,20220309
111715,20220310
113464,20220311
90723,20220312
89473,20220313
115792,20220314
113679,20220315
109710,20220316
111708,20220317
119305,20220318
94072,20220319
90292,20220320
106193,20220321
106449,20220322
106143,20220323
145390,20220324
131104,20220325
100907,20220326
89780,20220327
124509,20220328
122187,20220329
122705,20220330
139177,20220331
132490,20220401
116939,20220402
92421,20220403
93119,20220404
89953,20220405
122647,20220406
120034,20220407
117384,20220408
93990,20220410
119071,20220411
117457,20220412
116408,20220413
119336,20220414
121917,20220415
100654,20220416
95680,20220417
121294,20220418
118255,20220419
116299,20220420
112968,20220421
108955,20220422
125606,20220423
128964,20220424
118105,20220425
119639,20220426
119740,20220427
122727,20220428
131283,20220429
101766,20220430
104904,20220501
99911,20220502
96011,20220503
100616,20220504
126839,20220505
119146,20220506
123462,20220507
98515,20220508
122190,20220509
117430,20220510
116935,20220511
117034,20220512
124051,20220513
104991,20220514
103442,20220515
119591,20220516
122954,20220517
125528,20220518
119190,20220519
123538,20220520
94961,20220521
91498,20220522
118072,20220523
149982,20220524
135096,20220525
131673,20220526
122780,20220527
104556,20220528
100223,20220529
130257,20220530
132547,20220531
140285,20220601
133154,20220602
101686,20220603
102265,20220604
100304,20220605
127381,20220606
125113,20220607
130954,20220608
130999,20220609
128558,20220610
104646,20220611
100469,20220612
130962,20220613
128674,20220614
136417,20220615
132322,20220616
132355,20220617
110797,20220618
104088,20220619
129648,20220620
121502,20220621
126693,20220622
143824,20220624
110093,20220625
98081,20220626
133612,20220627
128876,20220628
140220,20220629
146047,20220630
137229,20220701
98508,20220703
130363,20220704
121056,20220706
122424,20220707
124340,20220708
104011,20220709
99883,20220710
120370,20220711
120841,20220712
126275,20220713
127177,20220714
127393,20220715
103889,20220716
98945,20220717
128882,20220718
123213,20220719
